API KEY,مفتاح API,
API Key,مفتاح API,
About,حول,
Account Setup Verified,تم التحقق من إعداد الحساب,
Accounts Manager,مدير الحسابات,
Accounts User,مستخدم الحسابات,
Action,إجراء,
Actions,إجراءات,
Active,نشط,
Add to Prospect,إضافة إلى الاحتمالات,
Address,عنوان,
Address line,سطر العنوان,
All,الكل,
All parameters are required.,جميع المعلمات مطلوبة.,
Amended From,معدل من,
Applying Workflow Action,تطبيق إجراء سير العمل,
Appointment,موعد,
Apps,تطبيقات,
Arabic Name,الاسم العربي,
Archived,أرشيف,
Are you sure you want to change status from {0} to {1}?,هل أنت متأكد أنك تريد تغيير الحالة من {0} إلى {1}؟,
Asset,الأصل,
Asset Custody Request,طلب حيازة الأصل,
Attachment,مرفق,
Available in Main Warehouse,متاح في المستودع الرئيسي,
Broken,معطل,
Business Details,تفاصيل العمل,
Cancel,إلغاء,
Cancelled,ألغيت,
Car Type,نوع السيارة,
Chassie No,رقم الشاسيه,
Check,التحقق من,
Check User,التحقق من المستخدم,
Choose Serial and Batch Bundle,اختر مجموعة السيريال والدفعة,
City,مدينة,
Cleared training references from Serial No {0},تم مسح مراجع التدريب من رقم السيريال {0},
Close,إغلاق,
Closed,مغلق,
Company Activity,نشاط الشركة,
Company Information,معلومات الشركة,
Compensated Session,جلسة تعويضية,
Competing Company Name,اسم الشركة المنافسة,
Competitor,المنافس,
Complete,أكمل,
Completed,اكتمل,
Confirmation,تأكيد,
Contact,اتصال,
Contact Person,الشخص الذي يمكن الاتصال به,
Contract Classification Rule,قاعدة تصنيف العقد,
Contract Setting,إعداد العقد,
Contract Type,نوع العقد,
Contract Type Settings,إعدادات نوع العقد,
Could not fetch template items. Permission denied or server error.,تعذر جلب عناصر القالب. تم رفض الإذن أو خطأ في الخادم.,
Could not fetch template items. Please check your permissions or network connection.,تعذر جلب عناصر القالب. يرجى التحقق من أذوناتك أو اتصال الشبكة.,
Country,الدولة,
County,مقاطعة,
Create,انشاء,
Create Date,تاريخ الإنشاء,
Create Landed Cost Voucher,إنشاء قسيمة تكلفة الهبوط,
Create Landed Cost Voucher for this Purchase Invoice?,هل تريد إنشاء قسيمة تكلفة الهبوط لهذه الفاتورة؟,
Create New User,إنشاء مستخدم جديد,
Create User,إنشاء مستخدم,
Created,تم الإنشاء,
Creating Training...,إنشاء التدريب...,
Credentials,بيانات الاعتماد,
Customer,العميل,
Customer Address,عنوان العميل,
Customer Analysis,تحليل العميل,
Customer Data,بيانات العميل,
Customer Email,البريد الإلكتروني للعميل,
Customer ID,معرف العميل,
Customer Information,معلومات العميل,
Customer Name,اسم العميل,
Daily,يوميا,
Date,تاريخ,
Delivery Note,إشعار التسليم,
Delivery Note created successfully: {0},تم إنشاء إشعار التسليم بنجاح: {0},
Description,وصف,
Details,تفاصيل,
Device,الجهاز,
Device Details,تفاصيل الجهاز,
Device Setup,إعداد الجهاز,
